time,open,high,low,close,volume
09:30:00,73.9,75.04,73.78,74.988,938146
09:31:00,74.9899,75.2,74.715,74.715,318836
09:32:00,74.73,75.1,74.73,75.02,323732
09:33:00,75.02,75.08,74.85,74.92,156647
09:34:00,74.92,75.2,74.895,75.06,308929
09:35:00,75.06,75.25,74.98,75.09,215703
09:36:00,75.095,75.21,75.035,75.12,174696
09:37:00,75.1267,75.2,75.01,75.155,147632
09:38:00,75.16,75.25,75.06,75.175,138548
09:39:00,75.175,75.23,75.04,75.12,132715
09:40:00,75.13,75.235,75.08,75.18,239729
09:41:00,75.18,75.29,75.08,75.26,191406
09:42:00,75.2674,75.2699,75.13,75.22,126378
09:43:00,75.22,75.34,75.165,75.32,151316
09:44:00,75.315,75.39,75.275,75.3103,119608
09:45:00,75.31,75.31,75.05,75.14,200668
09:46:00,75.1451,75.31,75.12,75.29,102937
09:47:00,75.29,75.32,75.2,75.28,98148
09:48:00,75.275,75.34,75.26,75.27,96461
09:49:00,75.27,75.32,75.06,75.205,141417
09:50:00,75.2044,75.29,75.065,75.11,127638
09:51:00,75.09,75.165,75.03,75.085,116477
09:52:00,75.085,75.3,75.04,75.295,90926
09:53:00,75.29,75.355,75.15,75.225,151116
09:54:00,75.25,75.35,75.115,75.15,142631
09:55:00,75.145,75.21,75.05,75.21,168024
09:56:00,75.21,75.21,75,75.05,107938
09:57:00,75.05,75.135,74.98,75.12,73515
09:58:00,75.13,75.25,75.12,75.22,58657
09:59:00,75.22,75.24,75.13,75.14,70994
10:00:00,75.13,75.17,75.075,75.1,96261
10:01:00,75.1,75.12,75.01,75.025,113849
10:02:00,75.0199,75.34,74.98,75.305,287964
10:03:00,75.3,75.36,75.24,75.24,91265
10:04:00,75.235,75.25,75.04,75.16,80383
10:05:00,75.15,75.29,75.15,75.23,77857
10:06:00,75.2495,75.29,75.14,75.15,47490
10:07:00,75.145,75.26,75.09,75.26,119762
10:08:00,75.2666,75.27,75.07,75.07,85716
10:09:00,75.0774,75.3,75.06,75.25,90507
10:10:00,75.24,75.29,75.2131,75.26,77687
10:11:00,75.255,75.31,75.17,75.17,85887
10:12:00,75.165,75.3,75.14,75.2495,73076
10:13:00,75.24,75.35,75.22,75.275,46882
10:14:00,75.275,75.29,75.195,75.2,48940
10:15:00,75.195,75.31,75.1842,75.23,64111
10:16:00,75.225,75.24,75,75.13,134244
10:17:00,75.125,75.125,74.91,74.94,111057
10:18:00,74.94,75.01,74.9,74.98,70589
10:19:00,74.985,75.1,74.97,75.07,50382
10:20:00,75.0741,75.1,74.93,74.96,42249
10:21:00,74.96,74.96,74.9,74.94,38788
10:22:00,74.92,75.01,74.915,75.01,51181
10:23:00,75,75.085,74.99,75.05,46111
10:24:00,75.06,75.095,74.9945,75.02,33712
10:25:00,75.025,75.06,74.99,75.03,29798
10:26:00,75.05,75.1399,75.03,75.0301,83639
10:27:00,75.05,75.09,75.035,75.09,30194
10:28:00,75.09,75.14,75.07,75.07,35559
10:29:00,75.06,75.07,74.96,74.96,55259
10:30:00,74.97,75.015,74.82,74.835,53302
10:31:00,74.83,75.02,74.83,75.02,59811
10:32:00,75.03,75.07,74.97,75.0501,46232
10:33:00,75.05,75.07,74.93,74.93,64278
10:34:00,74.925,74.98,74.9,74.915,42041
10:35:00,74.92,75.02,74.91,74.985,39839
10:36:00,74.985,75.06,74.98,75.06,59232
10:37:00,75.055,75.055,74.915,75.03,46233
